Envision,Envision,Envision,
Think back to a memorable Envision credit. What level of achievement did you pick and HOW did you decide this level of achievement was acceptable?,Think back to a memorable Envision credit. What level of achievement did you pick and HOW did you decide this level of achievement was acceptable?,Think back to a memorable Envision credit. What level of achievement did you pick and HOW did you decide this level of achievement was acceptable?,
Answer Options,Answer Options,Response Count,
,,28,
answered question,28,28,
skipped question,2,2,
,,,
Number,Response Date,Response Text,Categories
1,"Aug 13, 2015 4:48 PM",The re-development of the brownfield was probably the most critical element as I evaluated the credits.  Having dealt with brownfields on many multi-family projects they are extremely difficult and consequently are left for years and years hurting ground water and contaminating soils.  ,
2,"Aug 13, 2015 4:39 PM",pick the one that is most attainable and affordable for the client to actually achieve,
3,"Aug 13, 2015 4:39 PM",I think looking back at the enhancing community can be at the highest level because you took a town that was badly damaged by a tornado with destroyed buildings and you developed a beautiful park and community area for the entire community to enjoy and also help the environment.  ,
4,"Aug 12, 2015 4:59 PM",Enhancement - working with the community and meeting restorative credits.  ,
5,"Aug 12, 2015 4:59 PM","Restorative, using my experience",
6,"Aug 12, 2015 4:53 PM","Stormwater Design, Water Quality, Maintenence considerations, etc",
7,"Aug 12, 2015 4:48 PM",No history with Envivion,
8,"Aug 12, 2015 4:48 PM",QL1.2 STIMULATE SUSTAINABLE GROWTH AND DEVELOPMENT.  It converted existing unused area to open space for use by the public.,
9,"Aug 12, 2015 4:43 PM","The credit involving light pollution comes to mind. Restorative, I selected, because it's completely attainable on a project such as this.",
10,"Aug 11, 2015 4:51 PM","Restorative, which I decided was acceptable based on the example project and what I though could be achieved.",
11,"Aug 10, 2015 5:11 PM",I don't have one.,
12,"Aug 10, 2015 5:07 PM",Was shooting for superior in most cases. Decided on of level achievement by was seemed achiveable.,
13,"Aug 10, 2015 4:58 PM",I selected Restorative in some cases based on the description of the project case study.,
14,"Aug 10, 2015 4:56 PM",Restorative: Dilapidated buildings needed to be dealt with; needed to rebuild and help local economy.,
15,"Aug 10, 2015 4:54 PM",Planning- Planning with the community for the new construction was highly encouraged with the weekly meetings with the community about their wants and needs.,
16,"Aug 10, 2015 4:52 PM",CR2.2 I chose restorative. The project would be open to comments and concerns from the community.,
17,"Aug 10, 2015 4:49 PM",Never used it before.,
18,"Aug 10, 2015 4:49 PM",Using local labor: I picked the level for using local labor because most of the work being done should be able to be accomplished by using local labor,
19,"Jul 29, 2015 4:58 PM","I chose restorative for the light minimization credit. The example showed that this had already been achieved, meaning that it was realistic/possible to gain this credit.",
20,"Jul 29, 2015 4:48 PM",The credit dealing with the site remediation: When a previously undesirable site is re mediated and brought into a more desirable condition I believe that the restorative credit was acceptable.,
21,"Jul 29, 2015 4:39 PM","Stimulate Sustainable Growth and Development - after reading the transformation of the land, I felt it was worth of the ""Developmental Rebirth"" level of achievement and therefore was ""Restorative"" and gained the highest number of points.",
22,"Jul 29, 2015 4:39 PM",Restorative. restoration of a wetland was a vital / primary component of the project. It benefited the community at large,
23,"Jul 29, 2015 4:34 PM",N/A,
24,"Jul 29, 2015 4:32 PM",dfdfdfdff,
25,"Jul 28, 2015 7:17 PM",Started with the example and then based decision on previous experience. ,
26,"Jul 28, 2015 6:42 PM",I looked at the example given and went from there. ,
27,"Jul 28, 2015 5:15 PM",Wetlands and Habitat - Achieved Restorative due to the complete renovation of old wetlands in the town.,
28,"Jul 28, 2015 5:08 PM","Light pollution, I picked conserving because it would be difficult to achieve restorative with just one site, even if it were a large one. ",
