Envision,Envision,Envision,Envision,Envision,Envision,Envision,Envision,Envision
Please Answer,Please Answer,Please Answer,Please Answer,Please Answer,Please Answer,Please Answer,Please Answer,Please Answer
Answer Options,Answer Options,Strongly Disagree (1),2,3,4,Strongly Agree (5),Rating Average,Response Count
I am confident a project team could really achieve the Envision score I came up with.,I am confident a project team could really achieve the Envision score I came up with.,2,0,8,12,8,3.80,30
I believe the Envision score I came up with is above average compared to other certified projects.,I believe the Envision score I came up with is above average compared to other certified projects.,2,3,13,11,1,3.20,30
The Psomas Engineeringÿexample project motivated me to achieve a higher score.,The Psomas Engineeringÿexample project motivated me to achieve a higher score.,1,2,8,16,3,3.60,30
"When considering the possible levels of achievement for each credit, I began with the level of achievement from the example project and then moved up or down.","When considering the possible levels of achievement for each credit, I began with the level of achievement from the example project and then moved up or down.",1,1,11,10,7,3.70,30
I made my decisions based on previous work experience.,I made my decisions based on previous work experience.,3,3,10,11,3,3.27,30
Iÿwill use Envision in the future.,Iÿwill use Envision in the future.,0,1,20,7,2,3.33,30
answered question,answered question,answered question,answered question,answered question,answered question,answered question,30,30
skipped question,skipped question,skipped question,skipped question,skipped question,skipped question,skipped question,0,0
